GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,AST_DAY_RANK
3/26/2019,ATL,Atlanta Hawks,ATL @ NOP,Trae Young,G,54.2,629,5,280,12,111,0,7843,12,318,4,2601,1,18809,1,4317,1,8514,3
3/26/2019,WAS,Washington Wizards,WAS @ LAL,Tomas Satoransky,G,31.5,5512,0,12874,11,183,0,7843,4,8828,0,13385,5,7038,1,4317,2,4097,4
3/26/2019,CHA,Charlotte Hornets,CHA vs. SAS,Kemba Walker,G,66.3,138,2,3543,11,183,1,2443,14,108,8,447,9,2204,0,11467,2,4097,5
3/26/2019,LAL,Los Angeles Lakers,LAL vs. WAS,Rajon Rondo,G,28.6,6865,1,7056,10,325,0,7843,3,11548,0,13385,3,12137,2,1393,3,1827,6
3/26/2019,NOP,New Orleans Pelicans,NOP vs. ATL,Elfrid Payton,G,34.7,4240,1,7056,9,525,0,7843,5,6509,0,13385,6,5192,2,1393,3,1827,7
3/26/2019,MIN,Minnesota Timberwolves,MIN vs. LAC,Tyus Jones,G,25.4,8548,3,1597,8,789,0,7843,5,6509,0,13385,2,15352,0,11467,2,4097,8
3/26/2019,SAC,Sacramento Kings,SAC @ DAL,De'Aaron Fox,G,40,2657,0,12874,8,789,0,7843,6,4636,11,128,5,7038,0,11467,1,8514,9
3/26/2019,CLE,Cleveland Cavaliers,CLE vs. BOS,Larry Nance Jr.,F,28.1,7107,0,12874,7,1184,0,7843,4,8828,5,1672,3,12137,1,4317,2,4097,10
3/25/2019,MEM,Memphis Grizzlies,MEM vs. OKC,Delon Wright,G,50.1,986,0,12874,13,71,0,7843,8,2174,2,6102,3,12137,4,121,3,1827,1
3/25/2019,POR,Portland Trail Blazers,POR vs. BKN,Damian Lillard,G,59.2,354,4,662,12,111,0,7843,10,888,7,723,6,5192,1,4317,0,15731,2
