GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,STL_DAY_RANK
3/17/2019,LAC,LA Clippers,LAC vs. BKN,Garrett Temple,G,20.2,11766,0,12874,0,18130,0,7843,2,14769,2,6102,6,5192,3,415,2,4097,3
3/17/2019,CHA,Charlotte Hornets,CHA @ MIA,Jeremy Lamb,G,35.3,4011,3,1597,1,12618,0,7843,8,2174,2,6102,4,9339,3,415,1,8514,4
3/17/2019,LAL,Los Angeles Lakers,LAL @ NYK,JaVale McGee,C,30.4,6027,0,12874,0,18130,1,2443,6,4636,0,13385,7,3913,3,415,2,4097,5
3/17/2019,ORL,Orlando Magic,ORL vs. ATL,Nikola Vucevic,C,62.5,226,0,12874,3,5849,0,7843,10,888,7,723,20,48,3,415,2,4097,6
3/17/2019,CHI,Chicago Bulls,CHI @ SAC,Zach LaVine,G,36.1,3735,2,3543,3,5849,1,2443,7,3260,2,6102,3,12137,3,415,2,4097,7
3/17/2019,ORL,Orlando Magic,ORL vs. ATL,Terrence Ross,G,16.3,14337,1,7056,1,12618,0,7843,2,14769,1,10110,4,9339,3,415,5,338,8
3/17/2019,PHI,Philadelphia 76ers,PHI @ MIL,Joel Embiid,F-C,78,34,4,662,6,1803,1,2443,15,65,6,1093,15,299,3,415,1,8514,9
3/17/2019,PHI,Philadelphia 76ers,PHI @ MIL,Jimmy Butler,G,45.7,1582,2,3543,3,5849,0,7843,8,2174,9,316,6,5192,3,415,2,4097,10
3/16/2019,BOS,Boston Celtics,BOS vs. ATL,Marcus Smart,G,47.7,1274,2,3543,9,525,1,2443,5,6509,4,2601,1,18809,5,25,1,8514,1
3/16/2019,PHX,Phoenix Suns,PHX @ NOP,De'Anthony Melton,G,31.1,5713,0,12874,5,2659,0,7843,3,11548,0,13385,8,2894,3,415,1,8514,2
3/16/2019,ATL,Atlanta Hawks,ATL @ BOS,Dewayne Dedmon,C,33.1,4834,0,12874,1,12618,1,2443,2,14769,1,10110,13,591,3,415,1,8514,3
3/16/2019,NOP,New Orleans Pelicans,NOP vs. PHX,Anthony Davis,F-C,38.2,3126,0,12874,0,18130,1,2443,6,4636,3,4174,11,1140,3,415,2,4097,4
3/16/2019,GSW,Golden State Warriors,GSW @ OKC,Klay Thompson,G,49.6,1039,3,1597,4,3929,1,2443,9,1419,2,6102,8,2894,3,415,1,8514,5
3/16/2019,ATL,Atlanta Hawks,ATL @ BOS,DeAndre' Bembry,F,21.6,10866,0,12874,4,3929,0,7843,2,14769,0,13385,3,12137,3,415,1,8514,6
3/16/2019,POR,Portland Trail Blazers,POR @ SAS,Jusuf Nurkic,C,53.2,704,0,12874,4,3929,1,2443,10,888,4,2601,16,207,2,1393,5,338,7
3/16/2019,DAL,Dallas Mavericks,DAL vs. CLE,Dirk Nowitzki,F,33.7,4615,2,3543,1,12618,2,812,5,6509,2,6102,6,5192,2,1393,1,8514,8
3/16/2019,BKN,Brooklyn Nets,BKN @ UTA,Jarrett Allen,C,29.5,6436,0,12874,1,12618,4,98,0,21502,4,2601,5,7038,2,1393,0,15731,9
3/16/2019,IND,Indiana Pacers,IND @ DEN,Myles Turner,C-F,32,5287,0,12874,2,8551,1,2443,3,11548,9,316,5,7038,2,1393,1,8514,10
3/15/2019,HOU,Houston Rockets,HOU vs. PHX,James Harden,G,89.3,6,3,1597,11,183,3,272,12,318,14,42,9,2204,6,3,6,130,1
3/15/2019,HOU,Houston Rockets,HOU vs. PHX,PJ Tucker,F,21,11254,0,12874,0,18130,0,7843,0,21502,0,13385,5,7038,5,25,0,15731,2
3/15/2019,PHX,Phoenix Suns,PHX @ HOU,Kelly Oubre Jr.,F,47.8,1257,3,1597,2,8551,2,812,8,2174,3,4174,4,9339,5,25,3,1827,3
3/15/2019,POR,Portland Trail Blazers,POR @ NOP,Al-Farouq Aminu,F,28.3,7019,0,12874,1,12618,1,2443,2,14769,2,6102,9,2204,3,415,2,4097,4
3/15/2019,LAC,LA Clippers,LAC vs. CHI,Shai Gilgeous-Alexander,G,46.9,1399,1,7056,7,1184,1,2443,7,3260,2,6102,7,3913,3,415,1,8514,5
3/15/2019,WAS,Washington Wizards,WAS vs. CHA,Trevor Ariza,F,38.1,3148,2,3543,5,2659,2,812,3,11548,2,6102,8,2894,3,415,4,786,6
3/15/2019,MIL,Milwaukee Bucks,MIL @ MIA,Eric Bledsoe,G,33.1,4834,1,7056,5,2659,0,7843,6,4636,4,2601,3,12137,3,415,4,786,7
3/15/2019,SAS,San Antonio Spurs,SAS vs. NYK,Jakob Poeltl,C,49.8,1013,0,12874,2,8551,5,37,6,4636,0,13385,9,2204,3,415,0,15731,8
3/15/2019,CHA,Charlotte Hornets,CHA @ WAS,Kemba Walker,G,49,1111,3,1597,4,3929,1,2443,11,549,3,4174,5,7038,3,415,3,1827,9
3/15/2019,NYK,New York Knicks,NYK @ SAS,Kadeem Allen,G,28.1,7107,2,3543,1,12618,0,7843,7,3260,0,13385,3,12137,3,415,2,4097,10
